The recipe,Source file count,Source file changed count,Cumulative scanning time (ns),Max scanning time (ns),Cumulative edit time (ns),Max edit time (ns)
The recipe whose stats are being measured both individually and cumulatively.,The number of source files the recipe ran over.,"The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.",The total time spent across the scanning phase of this recipe.,The max time scanning any one source file.,The total time spent across the editing phase of this recipe.,The max time editing any one source file.
org.openrewrite.java.spring.security5.AuthorizeHttpRequests,10,0,0,0,1752636,230433
org.openrewrite.java.migrate.jakarta.JavaxEEApiToJakarta,10,0,5249,524,23642,4882
org.openrewrite.hibernate.TypeAnnotationParameter,10,0,0,0,49621,5411
org.openrewrite.java.testing.mockito.Mockito1to3Migration,10,0,15828,1351,85834,57011
org.openrewrite.java.migrate.javax.MigrateJaxBWSPlugin,10,0,10305,1863,15122,2092
org.openrewrite.java.spring.batch.ListenerSupportClassToInterface,10,0,7146,968,15600,2045
org.openrewrite.java.migrate.jakarta.WsWsocServerContainerDeprecation,10,0,4725,675,16112,4388
org.openrewrite.java.migrate.jakarta.UpdateRestLet2_6,10,0,15916,2556,17430,2582
org.openrewrite.java.spring.security6.UpdateEnableReactiveMethodSecurity,10,0,0,0,35524,5212
org.openrewrite.java.testing.junit5.ExcludeJUnit4UnlessUsingTestcontainers,10,0,47799,6300,44758,8664
org.openrewrite.java.testing.mockito.MockUtilsToStatic,10,0,0,0,100668,16447
org.openrewrite.java.migrate.sql.JavaSqlAPIs,10,0,12026,6594,17885,2182
org.openrewrite.java.migrate.javax.JavaxManagementMonitorAPIs,10,0,5717,1380,23065,2304
org.openrewrite.java.migrate.UpgradeBuildToJava17,10,0,8294,2946,39044,8022
org.openrewrite.java.migrate.UpgradeBuildToJava11,10,0,6152,1301,19097,2695
org.openrewrite.java.migrate.concurrent.MigrateAtomicBooleanWeakCompareAndSetToWeakCompareAndSetPlain,10,0,6017,1671,10137,1075
org.openrewrite.java.migrate.RemovedModifierAndConstantBootstrapsConstructors,10,0,3817,962,14859,1933
org.openrewrite.java.SimplifyMethodChain,10,0,0,0,384498,75669
org.openrewrite.java.migrate.jakarta.UpdateManagedBeanToNamed,10,0,0,0,467106,161648
org.openrewrite.java.spring.boot2.MigrateHttpMessageConvertersPackageName,10,0,41553,30866,41903,6384
org.openrewrite.java.springdoc.SpringFoxToSpringDoc,10,0,28005,5751,34955,4196
org.openrewrite.java.migrate.javax.MigrateAbstractElementVisitor6To9,10,0,5218,1538,25761,6036
org.openrewrite.java.migrate.jakarta.RemovedSOAPElementFactory,10,0,6302,1753,13233,2081
org.openrewrite.java.migrate.jakarta.MigratePluginsForJakarta10,10,0,23182,8730,14750,3075
org.openrewrite.java.AddCommentToImport,10,0,0,0,2117599,393503
org.openrewrite.java.migrate.jakarta.UpdateAnnotationAttributeJavaxToJakarta,10,0,0,0,3703710,256263
org.openrewrite.apache.httpclient5.InputBufferReadAddOffsetAndLengthArguments,10,0,0,0,25499,4824
org.openrewrite.java.spring.security6.UseSha256InRememberMe,10,0,0,0,80364,12713
org.openrewrite.java.migrate.RemovedSSLSessionGetPeerCertificateChainMethodImpl,10,0,11920,8666,21832,4363
org.openrewrite.java.spring.boot3.RemoveSolrAutoConfigurationExclude,10,0,0,0,1217312,843960
org.openrewrite.java.spring.boot2.HeadersConfigurerLambdaDsl,10,0,0,0,54798,9031
org.openrewrite.java.testing.hamcrest.AddHamcrestIfUsed,10,0,30092,6362,50874,9158
org.openrewrite.java.testing.junit5.MockitoJUnitToMockitoExtension,10,0,0,0,221676,65039
org.openrewrite.java.migrate.javax.MigrateXMLInputFactoryNewInstanceToNewFactory,10,0,5496,1926,12174,1355
org.openrewrite.java.spring.boot2.MigrateConfigurationPropertiesBindingPostProcessorValidatorBeanName,10,0,0,0,58810,5523
org.openrewrite.java.migrate.ArrayStoreExceptionToTypeNotPresentException,10,0,0,0,39115,7572
org.openrewrite.java.testing.mockito.AnyToNullable,10,0,20448152,4060032,380959,100590
org.openrewrite.java.spring.boot2.MoveAutoConfigurationToImportsFile,10,0,352074,241834,1789664,836622
org.openrewrite.java.migrate.RemovedPolicy,10,0,7011,1783,18776,2933
org.openrewrite.java.spring.boot2.MigrateDiskSpaceHealthIndicatorConstructor,10,0,0,0,78893,34564
org.openrewrite.maven.ChangeDependencyScope,10,0,0,0,372101,106179
org.openrewrite.java.AddCommentToMethodInvocations,10,0,0,0,853129,87005
org.openrewrite.java.migrate.cobertura.RemoveCoberturaMavenPlugin,10,0,5028,1341,15848,1602
org.openrewrite.java.spring.kafka.RemoveUsingCompletableFuture,10,0,0,0,9651894,2025049
org.openrewrite.java.migrate.jakarta.JavaxFacesTagLibraryXmlToJakartaFacesTagLibraryXml,10,0,11168,944,36621,4314
org.openrewrite.java.migrate.jakarta.JavaxXmlToJakartaXmlXJCBinding,10,0,16297,1468,20946,3522
org.openrewrite.java.spring.boot3.SpringBootProperties_3_0,10,0,9675,962,46155,11081
org.openrewrite.apache.httpclient5.UsernamePasswordCredentials,10,0,0,0,35447,7361
org.openrewrite.java.migrate.jakarta.UpdateJakartaFacesApi3,10,0,10728,1031,25148,1768
org.openrewrite.java.migrate.lang.MigrateClassLoaderDefineClass,10,0,0,0,1975446,305130
org.openrewrite.java.migrate.jakarta.FileuploadToFileUpload2,10,0,7808,2009,13234,1753
org.openrewrite.java.spring.boot3.SpringBootProperties_3_1,10,0,3866,955,6669,1053
org.openrewrite.java.spring.security5.UpdateArgon2PasswordEncoder,10,0,0,0,30156,4483
org.openrewrite.java.migrate.UseJavaUtilBase64,10,0,0,0,205670,103413
org.openrewrite.java.spring.framework.HttpComponentsClientHttpRequestFactoryReadTimeout,10,0,0,0,20846,3634
org.openrewrite.java.migrate.jakarta.UpdateJakartaFacesApi4,10,0,6497,863,14763,1495
org.openrewrite.java.spring.data.UseJpaRepositoryDeleteAllInBatch,10,0,10448,1108,26325,2495
org.openrewrite.java.migrate.IllegalArgumentExceptionToAlreadyConnectedException,10,0,0,0,16570,1925
org.openrewrite.java.migrate.jakarta.FacesJNDINamesChanged,10,0,7860,1119,39973,4721
org.openrewrite.java.migrate.RemovedSecurityManagerMethods,10,0,0,0,1367948,316130
org.openrewrite.java.spring.boot2.ServerHttpSecurityLambdaDsl,10,0,0,0,61169,10594
org.openrewrite.java.migrate.lang.MigrateSecurityManagerMulticast,10,0,0,0,19840,2868
org.openrewrite.java.migrate.jakarta.JavaxInterceptorToJakartaInterceptor,10,0,10253,2923,21206,5353
org.openrewrite.java.migrate.jakarta.JavaxPersistenceXmlToJakartaPersistenceXml,10,0,31292,2342,69422,5403
org.openrewrite.java.spring.boot2.MergeBootstrapYamlWithApplicationYaml,10,0,2445006,1000822,145617,22727
org.openrewrite.java.migrate.lang.MigrateRuntimeVersionMinorToInterim,10,0,5255,1266,9835,1734
org.openrewrite.java.migrate.jakarta.JavaxDecoratorToJakartaDecorator,10,0,8806,2321,15167,2121
org.openrewrite.java.migrate.DeprecatedJavaxSecurityCert,10,0,5240,1313,23977,3246
org.openrewrite.maven.AddPlugin,10,0,0,0,6738,725
org.openrewrite.java.migrate.jakarta.JakartaFacesXhtmlEE10,10,0,7701,1347,10907,1353
org.openrewrite.java.testing.mockito.MockitoWhenOnStaticToMockStatic,10,0,0,0,42568,5162
org.openrewrite.java.spring.doc.RemoveBeanValidatorPluginsConfiguration,10,0,0,0,100341,10711
org.openrewrite.apache.httpclient5.UpgradeApacheHttpCore_5_NioOutputBuffers,10,0,5803,1204,27187,3848
org.openrewrite.java.migrate.concurrent.MigrateAtomicIntegerArrayWeakCompareAndSetToWeakCompareAndSetPlain,10,0,5168,1477,14466,1366
org.openrewrite.java.testing.junit5.AssertToAssertions,10,0,0,0,98096,21208
org.openrewrite.java.spring.boot2.MigrateUndertowServletWebServerFactorySetEagerInitFilters,10,0,11415,1150,34832,3041
org.openrewrite.maven.RemovePluginDependency,10,0,0,0,1690129,1330874
org.openrewrite.java.migrate.DeprecatedLogRecordThreadID,10,0,4265,1194,15693,2067
org.openrewrite.java.ReplaceAnnotation,10,0,0,0,3690270,1101308
org.openrewrite.xml.ChangeTagAttribute,10,0,0,0,25711071,3703832
org.openrewrite.java.migrate.jakarta.Faces3xMigrationToFaces4x,10,0,8589,1774,27592,4792
org.openrewrite.java.migrate.logging.JavaLoggingAPIs,10,0,5581,1541,24750,2977
org.openrewrite.java.spring.boot3.ActuatorEndpointSanitization,10,0,7742,815,21457,3674
org.openrewrite.java.spring.ChangeSpringPropertyKey,10,0,0,0,546169506,7130524
org.openrewrite.java.migrate.jakarta.RemovalsServletJakarta10,10,0,13534,3766,29062,6511
org.openrewrite.apache.httpclient5.OutputBufferWriteAddOffsetAndLengthArguments,10,0,0,0,25079,6464
org.openrewrite.java.migrate.SunNetSslPackageUnavailable,10,0,8622,4133,16063,1841
org.openrewrite.java.migrate.Jre17AgentMainPreMainPublic,10,0,5749,1338,20125,4243
org.openrewrite.java.spring.security6.RemoveUseAuthorizationManager,10,0,7053,2619,21875,6422
org.openrewrite.java.testing.testcontainers.ExplicitContainerImage,10,0,0,0,72706,1373
org.openrewrite.java.testing.junit5.RunnerToExtension,10,0,0,0,6289703,1996560
org.openrewrite.java.migrate.jakarta.RemovedUIComponentConstant,10,0,10412,913,27403,3707
org.openrewrite.java.spring.boot2.MigrateApplicationHealthIndicatorToPingHealthIndicator,10,0,26213,4289,49146,11647
org.openrewrite.java.migrate.DeprecatedCountStackFramesMethod,10,0,4563,1358,25135,3839
org.openrewrite.java.migrate.javax.MigrateXMLOutputFactoryNewInstanceToNewFactory,10,0,6265,1720,11166,973
org.openrewrite.java.spring.boot2.OutputCaptureExtension,10,0,0,0,152819,43810
